Уровень,Компонента,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
44 компоненты,Строительные материалы,1.033,1.045,1.079,1.211,1.039,1.052,1.07,1.134,1.175,1.243,1.275,1.4,1.366,1.427,1.641,1.621,1.797,2.188,2.073,1.833,1.871,1.797,1.466,1.507,1.366
44 компоненты,Легковые автомобили,5.681,5.418,5.909,6.47,6.125,6.678,5.936,5.598,5.966,6.77,7.543,7.552,7.333,6.981,5.38,5.656,7.302,6.336,4.99,4.242,3.436,3.547,2.313,2.221,1.947
44 компоненты,Инструменты и оборудование,0.136,0.137,0.12,0.122,0.122,0.097,0.116,0.117,0.132,0.139,0.143,0.144,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44 компоненты,Нефтепродукты,4.643,4.762,4.724,4.655,4.456,4.427,4.355,4.227,3.612,3.4,3.333,3.233,3.049,2.748,2.581,2.492,2.217,2.206,2.087,1.986,1.751,1.505,1.505,2.217,2.492
44 компоненты,Медицинские товары,2.457,2.722,2.733,2.586,2.507,2.241,2.161,2.134,2.114,2.1,2.012,1.932,1.822,1.823,1.898,2.069,1.556,1.523,1.622,1.434,1.298,1.298,1.298,1.298,1.349
44 компоненты,Бытовые услуги,4.963,4.939,4.717,4.124,3.59,3.525,3.296,3.313,3.098,3.005,2.908,2.997,2.865,2.867,2.768,2.758,2.797,2.815,2.689,2.71,2.735,2.823,2.735,2.71,1.746
44 компоненты,Услуги пассажирского транспорта,2.184,2.218,2.047,1.95,2.068,2.44,2.393,2.476,2.497,2.621,2.706,2.821,2.85,2.849,3.023,3.089,3.378,3.255,3.257,3.308,3.194,2.849,3.039,3.044,3.089
44 компоненты,Услуги связи,2.646,2.648,2.586,2.624,2.751,2.627,2.893,3.022,2.761,2.663,2.648,2.846,2.909,3.15,3.253,3.138,2.964,2.96,2.964,2.656,2.157,1.769,1.769,1.276,1.276
44 компоненты,Жилищно-коммунальные услуги,9.646,9.896,10.19,10.04,10.121,10.167,9.991,9.901,9.477,8.809,8.878,8.96,9.236,9.203,9.011,8.81,7.891,8.57,8.833,8.897,7.967,7.981,7.981,7.14,7.39
44 компоненты,Услуги гостиниц и прочих мест проживания,0.399,0.389,0.353,0.346,0.28,0.202,0.186,0.182,0.19,0.186,0.186,0.173,0.149,0.14,0.148,0.148,0.145,0.145,0.125,0.109,0.09,0.089,0.09,0.094,0.09
44 компоненты,Услуги в системе образования,1.636,1.669,1.576,1.499,1.8,1.868,2.031,2.075,2.141,2.163,2.246,2.255,2.307,2.318,2.49,2.706,2.633,2.837,2.849,2.29,1.768,1.606,1.606,1.113,1.113
44 компоненты,Услуги организаций культуры,0.34,0.319,0.287,0.341,0.323,0.389,0.396,0.382,0.365,0.36,0.36,0.39,0.464,0.453,0.42,0.415,0.352,0.329,0.299,0.261,0.204,0.187,0.187,0.152,0.145
44 компоненты,Услуги в сфере зарубежного туризма,0.993,0.786,0.707,1.018,1.641,1.943,1.786,1.586,1.529,1.765,1.988,1.688,1.52,1.496,1.347,1.193,1.367,0.926,0.756,0.756,0.611,0.514,0.514,0.298,0.137
44 компоненты,Экскурсионные услуги,0.989,0.951,0.887,0.565,0.291,0.291,0.278,0.264,0.228,0.189,0.158,0.133,0.095,0.101,0.127,0.12,0.127,0.096,0.101,0.101,0.065,0.063,0.063,0.068,0.018
44 компоненты,Санаторно-оздоровительные услуги,0.357,0.343,0.344,0.403,0.4,0.46,0.474,0.432,0.415,0.4,0.413,0.434,0.47,0.479,0.492,0.512,0.655,0.561,0.447,0.541,0.584,0.522,0.522,0.411,0.361
44 компоненты,Медицинские услуги,1.515,1.519,1.466,1.459,1.453,1.412,1.504,1.56,1.563,1.649,1.502,1.517,1.419,1.332,1.35,1.337,1.199,1.288,1.167,1.019,0.881,0.805,0.805,0.69,0.702
44 компоненты,Прочее,8.794,8.957,8.975,8.659,8.509,8.508,8.378,8.289,8.329,7.9,7.444,7.571,7.563,7.624,7.523,7.521,7.15,6.635,6.679,6.396,6.304,6.558,3.808,4.72,3.292
